Participant_ID,Trial_ID,Group,Condition,Side,GoNoGo_Response,Difference_APAOnsetGo,Difference_MaxAPAOnset,Difference_LiftOffMaxAPA,Difference_MaxAPAGo,Difference_LiftOffGo,Difference_TouchdownLiftoff,Difference_TouchdownGo,bad_trials,Go_Consecutive_Go_NoGo,SteppingForce_MaxAPA,NoAPA
1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1
1,2,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,3,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1
1,4,1,1,2,1,172,239,237,411,648,296,944,0,1,0.700300801,0
1,5,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,6,1,1,2,1,241,182,243,423,666,280,946,0,0,0.670514966,0
1,7,1,1,2,1,228,271,195,499,694,312,1006,0,1,0.713634971,0
1,8,1,1,1,1,238,212,244,450,694,344,1038,0,2,0.701927919,0
1,9,1,1,1,1,234,252,228,486,714,352,1066,0,3,0.674041431,0
1,10,1,1,1,1,323,278,195,601,796,320,1116,0,4,0.764531423,0
1,11,1,1,1,1,170,261,263,431,694,408,1102,0,5,0.802616584,0
1,12,1,1,2,1,173,185,234,358,592,368,960,0,6,0.534116957,0
1,13,1,1,1,1,219,220,241,439,680,320,1000,0,7,0.726937521,0
1,14,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,15,1,1,2,1,116,257,236,373,609,229,838,0,0,0.628574987,0
1,16,1,1,2,1,193,262,209,455,664,368,1032,0,1,0.689074868,0
1,17,1,1,1,1,192,252,166,444,610,360,970,0,2,0.714987325,0
1,18,1,1,2,1,161,226,223,387,610,368,978,0,3,0.524715618,0
1,19,1,1,1,1,186,282,180,468,648,408,1056,0,4,0.740788645,0
1,20,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,21,1,1,1,1,189,278,199,467,666,360,1026,0,0,0.78041429,0
1,22,1,1,1,1,137,190,189,327,516,544,1060,0,1,0.639748076,0
1,23,1,1,1,1,231,241,222,472,694,392,1086,0,2,0.689005625,0
1,24,1,1,2,1,195,226,229,421,650,376,1026,0,3,0.55377348,0
1,25,1,1,1,1,213,217,172,430,602,520,1122,0,4,0.699137557,0
1,26,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,27,1,1,2,1,242,220,182,462,644,528,1172,0,0,0.565119634,0
1,28,1,1,1,1,171,270,199,441,640,536,1176,0,1,0.677429812,0
1,29,1,1,1,1,248,250,176,498,674,496,1170,0,2,0.727575917,0
1,30,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,31,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,32,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,33,1,1,2,1,306,235,175,541,716,440,1156,0,-2,0.654519492,0
1,34,1,1,2,1,211,261,164,472,636,400,1036,0,1,0.683349806,0
1,35,1,1,2,1,190,255,157,445,602,408,1010,0,2,0.685392269,0
1,36,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,37,1,1,2,1,218,256,200,474,674,400,1074,0,0,0.653221144,0
1,38,1,1,2,1,239,235,164,474,638,408,1046,0,1,0.661601084,0
1,39,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,40,1,1,2,1,264,264,164,528,692,376,1068,0,0,0.627322349,0
1,41,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,42,1,1,2,1,224,209,167,433,600,392,992,0,0,0.655871622,0
1,43,1,1,2,1,230,186,156,416,572,392,964,0,1,0.654875647,0
1,44,1,1,1,1,181,280,133,461,594,442,1036,0,2,0.736819945,0
1,45,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,46,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,47,1,1,2,1,211,232,199,443,642,448,1090,0,-1,0.662963519,0
1,48,1,1,2,1,224,245,161,469,630,362,992,0,1,0.71871573,0
1,49,1,1,1,1,174,285,159,459,618,432,1050,0,2,0.784863675,0
1,50,1,1,2,1,215,273,144,488,632,480,1112,0,3,0.643321928,0
1,51,1,1,1,1,139,282,277,421,698,336,1034,0,4,0.765047994,0
1,52,1,1,2,1,174,272,212,446,658,392,1050,0,5,0.626270634,0
1,53,1,1,2,1,186,260,230,446,676,424,1100,0,6,0.68396613,0
1,54,1,1,1,1,177,263,262,440,702,360,1062,0,7,0.678484323,0
1,55,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,56,1,1,2,1,214,281,251,495,746,424,1170,0,0,0.693280735,0
1,57,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,58,1,1,1,1,226,304,248,530,778,416,1194,0,0,0.803463417,0
1,59,1,1,1,1,166,305,201,471,672,400,1072,0,1,0.800008558,0
1,60,1,1,1,1,233,223,178,456,634,384,1018,0,2,0.742334027,0
1,61,1,1,1,1,162,273,165,435,600,336,936,0,3,0.681270277,0
1,62,1,1,2,1,171,220,153,391,544,392,936,0,4,0.613295281,0
1,63,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,64,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,65,1,1,2,1,215,170,221,385,606,512,1118,0,-1,0.553412764,0
1,66,1,1,1,1,210,325,249,535,784,362,1146,0,1,0.791277344,0
1,67,1,1,2,1,222,165,149,387,536,480,1016,0,2,0.618178013,0
1,68,1,1,1,1,198,214,170,412,582,440,1022,0,3,0.673815579,0
1,69,1,1,1,1,238,302,158,540,698,488,1186,0,4,0.710054792,0
1,70,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,71,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,72,1,1,2,1,177,254,245,431,676,360,1036,0,-1,0.657461614,0
1,73,1,1,2,1,199,252,267,451,718,320,1038,0,1,0.649781661,0
1,74,1,1,2,1,166,223,249,389,638,312,950,0,2,0.635643188,0
1,75,1,1,1,1,174,208,250,382,632,352,984,0,3,0.441223271,0
1,76,1,1,1,1,249,271,272,520,792,336,1128,0,4,0.728129048,0
1,77,1,1,2,1,192,216,268,408,676,384,1060,0,5,0.658430382,0
1,78,1,1,1,1,194,282,224,476,700,376,1076,0,6,0.719217319,0
1,79,1,1,1,1,186,307,233,493,726,456,1182,0,7,0.732547064,0
1,80,1,1,1,1,200,223,231,423,654,472,1126,0,8,0.575529372,0
1,81,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,82,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,83,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,84,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,85,1,1,2,1,258,244,304,502,806,464,1270,0,-3,0.610694213,0
1,86,1,1,1,1,177,277,302,454,756,368,1124,0,1,0.776414302,0
1,87,1,1,2,1,209,248,235,457,692,400,1092,0,2,0.673749305,0
1,88,1,1,1,1,241,278,229,519,748,352,1100,0,3,0.759501571,0
1,89,1,1,2,1,173,249,278,422,700,416,1116,0,4,0.721924411,0
1,90,1,1,1,1,163,304,255,467,722,416,1138,0,5,0.733744273,0
1,91,1,1,1,1,213,159,304,372,676,312,988,0,6,0.690996311,0
1,92,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,93,1,1,2,1,225,223,250,448,698,424,1122,0,0,0.618624765,0
1,94,1,1,1,1,237,304,249,541,790,416,1206,0,1,0.770136671,0
1,95,1,1,2,1,229,213,278,442,720,376,1096,0,2,0.636718597,0
1,96,1,1,2,1,206,162,236,368,604,392,996,0,3,0.443213433,0
1,97,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,98,1,1,2,1,274,236,224,510,734,352,1086,0,0,0.599433651,0
1,99,1,1,1,1,190,271,253,461,714,470,1184,0,1,0.776178987,0
1,100,1,1,2,1,220,219,255,439,694,416,1110,0,2,0.626135279,0
1,101,1,1,1,1,118,240,258,358,616,456,1072,0,3,0.61188122,0
1,102,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,NaN,1
1,103,1,1,2,1,190,163,149,353,502,478,980,0,5,0.188191091,0
1,104,1,1,2,1,166,273,281,439,720,424,1144,0,6,0.675333208,0
1,105,1,1,2,1,192,266,244,458,702,440,1142,0,7,0.670436034,0
1,106,1,1,2,1,225,154,219,379,598,424,1022,0,8,0.515943455,0
1,107,1,1,2,1,197,251,190,448,638,384,1022,0,9,0.627472003,0
1,108,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,109,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,110,1,1,1,1,196,280,402,476,878,380,1258,0,-1,0.760670359,0
1,111,1,1,2,1,171,287,182,458,640,400,1040,0,1,0.686484046,0
1,112,1,1,1,1,137,283,288,420,708,384,1092,0,2,0.783486836,0
1,113,1,1,2,1,226,195,231,421,652,416,1068,0,3,0.665455105,0
1,114,1,1,2,1,283,260,203,543,746,408,1154,0,4,0.692894228,0
1,115,1,1,1,1,200,220,234,420,654,416,1070,0,5,0.641563794,0
1,116,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,117,1,1,1,1,369,242,287,611,898,408,1306,0,0,0.87297136,0
1,118,1,1,1,1,206,274,246,480,726,432,1158,0,1,0.714776302,0
1,119,1,1,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,120,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,121,1,2,1,1,251,277,242,528,770,296,1066,0,-1,0.798897552,0
1,122,1,2,1,1,208,273,265,481,746,344,1090,0,1,0.748524145,0
1,123,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,124,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,125,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,126,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,127,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,128,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,129,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,130,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,131,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,132,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,133,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,134,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,135,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,136,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,137,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,138,1,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,139,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,140,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,141,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0
1,142,1,2,2,1,431,245,254,676,930,320,1250,0,-18,0.69252919,0
